# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth perigee
1.3200000000e+04 2.8914881861e+03 3.3826733360e+01 4.3805974660e-01 7.6875907471e-03 3.8416502970e+08 1.3487651146e+07 -3.5597942668e+01 1.0213752852e+03 3.1389386993e+08 1.5833125662e+07 -4.0158065298e+01 1.1984383102e+03 -3.7819715772e+28 -7.8372367680e+08 7.5106780000e+25 3.1429004621e+08 3.0778800000e+08
1.3500000000e+04 3.0243988746e+03 3.6185817695e+01 4.4801146343e-01 8.0409611061e-03 3.8415422901e+08 1.3794059441e+07 -3.6406646613e+01 1.0213465693e+03 3.1388168580e+08 1.6192646438e+07 -4.1069511709e+01 1.1983665968e+03 -3.7819715772e+28 -6.4490000611e+08 7.5106780000e+25 3.1429606219e+08 3.0778800000e+08
1.3800000000e+04 3.1602950359e+03 3.8652103783e+01 4.5796289804e-01 8.4022690596e-03 3.8414318571e+08 1.4100459023e+07 -3.7215327624e+01 1.0213172085e+03 3.1386922824e+08 1.6552145460e+07 -4.1980874772e+01 1.1982932791e+03 -3.7819715772e+28 -6.4707919559e+08 7.5106780000e+25 3.1430221260e+08 3.0778800000e+08
1.4100000000e+04 3.2991765846e+03 4.1227972868e+01 4.6791404417e-01 8.7715143868e-03 3.8413189982e+08 1.4406849701e+07 -3.8023985192e+01 1.0212872026e+03 3.1385649728e+08 1.6911622245e+07 -4.2892152637e+01 1.1982183575e+03 -3.7819715772e+28 -7.8710971282e+08 7.5106780000e+25 3.1430849739e+08 3.0778800000e+08
1.4400000000e+04 3.4410434330e+03 4.3915806130e+01 4.7786489555e-01 9.1486968620e-03 3.8412037132e+08 1.4713231281e+07 -3.8832618808e+01 1.0212565517e+03 3.1384349295e+08 1.7271076314e+07 -4.3803343456e+01 1.1981418326e+03 -3.7819715772e+28 -6.5768860594e+08 7.5106780000e+25 3.1431491651e+08 3.0778800000e+08
1.4700000000e+04 3.5858954918e+03 4.6717984677e+01 4.8781544590e-01 9.5338162548e-03 3.8410860025e+08 1.5019603568e+07 -3.9641227962e+01 1.0212252558e+03 3.1383021528e+08 1.7630507184e+07 -4.4714445383e+01 1.1980637047e+03 -3.7819715772e+28 -9.7773682113e+08 7.5106780000e+25 3.1432146991e+08 3.0778800000e+08
1.5000000000e+04 3.7337326698e+03 4.9636889551e+01 4.9776568897e-01 9.9268723297e-03 3.8409658659e+08 1.5325966370e+07 -4.0449812145e+01 1.0211933150e+03 3.1381666429e+08 1.7989914376e+07 -4.5625456570e+01 1.1979839745e+03 -3.7819715772e+28 -8.5719333499e+08 7.5106780000e+25 3.1432815754e+08 3.0778800000e+08
1.5300000000e+04 3.8845548738e+03 5.2674901719e+01 5.0771561849e-01 1.0327864847e-02 3.8408433036e+08 1.5632319492e+07 -4.1258370848e+01 1.0211607292e+03 3.1380284002e+08 1.8349297409e+07 -4.6536375170e+01 1.1979026423e+03 -3.7819715772e+28 -9.2331015246e+08 7.5106780000e+25 3.1433497933e+08 3.0778800000e+08
1.5600000000e+04 4.0383620089e+03 5.5834402079e+01 5.1766522818e-01 1.0736793560e-02 3.8407183157e+08 1.5938662743e+07 -4.2066903561e+01 1.0211274986e+03 3.1378874248e+08 1.8708655802e+07 -4.7447199336e+01 1.1978197089e+03 -3.7819715772e+28 -6.0013949477e+08 7.5106780000e+25 3.1434193524e+08 3.0778800000e+08
1.5900000000e+04 4.1951539781e+03 5.9117771450e+01 5.2761451177e-01 1.1153658221e-02 3.8405909022e+08 1.6244995927e+07 -4.2875409774e+01 1.0210936230e+03 3.1377437171e+08 1.9067989074e+07 -4.8357927223e+01 1.1977351747e+03 -3.7819715772e+28 -1.7578002878e+08 7.5106780000e+25 3.1434902520e+08 3.0778800000e+08
